1,2,3,4,5,6,7,8,9,10,11,12,13
87121677,2013/1/4 00:00,,,,,2013/1/25 00:00,TRUE,2,1,,,B
96126940,2013/1/2 00:00,,,,522,2013/1/25 00:00,TRUE,2,2,,,B
95181708,2013/1/14 00:00,2014/1/3 00:00,2188113,,670,2013/1/25 00:00,TRUE,5,1,,,C
97127665,2013/1/9 00:00,2014/3/12 00:00,,,,2013/1/25 00:00,TRUE,3,2,,,B
97182634,2013/1/9 00:00,2014/3/25 00:00,,,630,2013/1/25 00:00,TRUE,4,1,,,C
98122727,2013/1/9 00:00,2013/12/16 00:00,,,,2013/1/25 00:00,TRUE,3,2,,,B
98186943,2013/1/15 00:00,2014/5/25 00:00,2188114,,605,2013/1/25 00:00,TRUE,2,1,,,C
98122759,2013/1/21 00:00,,,,,2013/1/25 00:00,TRUE,2,1,,,B
99183173,2013/1/4 00:00,2013/9/25 00:00,,,570,2013/1/25 00:00,TRUE,2,2,,,C
98127840,2013/1/9 00:00,2014/2/23 00:00,,,,2013/1/25 00:00,TRUE,2,2,,,B
99127612,2013/1/9 00:00,2013/12/26 00:00,,,,2013/1/25 00:00,TRUE,2,,,,B
99127653,2013/1/19 00:00,2014/5/22 00:00,,,,2013/1/25 00:00,TRUE,2,1,,,B
185272,2013/1/2 00:00,2013/10/20 00:00,,,530,2013/1/25 00:00,TRUE,1,1,,,C
99127569,2013/1/16 00:00,2013/11/3 00:00,,,530,2013/1/25 00:00,TRUE,1,1,,,B
99127578,2013/1/12 00:00,,,,,2013/1/25 00:00,TRUE,1,2,,,B
99127582,2013/1/10 00:00,2013/11/26 00:00,,,,2013/1/25 00:00,TRUE,1,1,,,B
99127586,2013/1/20 00:00,2014/5/27 00:00,,,,2013/1/25 00:00,TRUE,1,1,,,B
99127593,2013/1/15 00:00,2013/12/13 00:00,,,,2013/1/25 00:00,TRUE,1,2,,,B
99127650,2013/1/19 00:00,,,,,2013/1/25 00:00,TRUE,1,1,,,B
122592,2013/1/13 00:00,2013/12/13 00:00,,,,2013/1/25 00:00,TRUE,1,1,,,B
122593,2013/1/15 00:00,2014/1/3 00:00,,,,2013/1/25 00:00,TRUE,1,1,,,B
122594,2013/1/16 00:00,2013/12/7 00:00,,,,2013/1/25 00:00,TRUE,1,2,,,B
122596,2013/1/19 00:00,2014/11/22 00:00,,,,2013/1/25 00:00,TRUE,1,1,,,B
122597,2013/1/9 00:00,2014/8/10 00:00,,,,2013/1/25 00:00,TRUE,1,1,,,B
122609,2013/1/17 00:00,,,,,2013/1/25 00:00,TRUE,1,2,,,B
122615,2013/1/18 00:00,2013/11/26 00:00,,,,2013/1/25 00:00,TRUE,1,1,,,B
127749,2013/1/5 00:00,2013/12/7 00:00,,,,2013/1/25 00:00,TRUE,1,1,,,B
99127589,2013/1/22 00:00,,,,,2013/1/25 00:00,TRUE,1,2,,,B
122600,2013/1/3 00:00,2013/11/11 00:00,,,,2013/1/25 00:00,TRUE,1,2,,,B
94051718,2013/2/10 00:00,2014/3/11 00:00,L19,,,2013/2/20 00:00,TRUE,6,,,,A
94051734,2013/2/8 00:00,2014/1/18 00:00,,,,2013/2/20 00:00,TRUE,5,,,,A
96051829,2013/2/10 00:00,2015/5/27 00:00,,,,2013/2/20 00:00,TRUE,3,,,,A
97051431,2013/1/30 00:00,2014/5/6 00:00,L11,,,2013/2/20 00:00,TRUE,2,,,,A
97051435,2013/2/1 00:00,,,,,2013/2/20 00:00,TRUE,2,,,,A
97051439,2013/2/4 00:00,2015/6/14 00:00,,,,2013/2/20 00:00,TRUE,2,,,,A
97051471,2013/2/7 00:00,,L16,,,2013/2/20 00:00,TRUE,2,,,,A
97051472,2013/2/9 00:00,2014/10/9 00:00,L18,,,2013/2/20 00:00,TRUE,2,,,,A
98051970,2013/1/28 00:00,2014/1/3 00:00,L10,,,2013/2/20 00:00,TRUE,2,,,,A
