1,2,3,4,5,6,7,8
11361,2005/9/2 00:00,1H5506,2005/9/28 00:00,0,,,A
11469,2000/1/17 00:00,72H896,2000/1/31 00:00,0,,,A
11930,2000/5/12 00:00,9H2164,2000/5/22 00:00,0,,,A
11930,2000/5/26 00:00,1H2993,2000/7/6 00:00,0,,,A
11930,2000/7/4 00:00,14H2403,1988/7/29 00:00,0,,,A
11930,2000/9/21 00:00,14H2403,2000/10/27 00:00,0,,,A
11934,2000/1/1 00:00,9H1988,2000/1/31 00:00,0,,,A
11934,2000/2/9 00:00,14H2236,2000/3/25 00:00,0,,,A
11938,2000/6/13 00:00,14H2580,2000/7/6 00:00,0,,,A
11938,2000/7/2 00:00,14H2397,1988/7/29 00:00,0,,,A
11938,2002/8/12 00:00,29H8886,2002/11/18 00:00,0,,,A
11938,2003/6/27 00:00,29H8933,2003/8/20 00:00,0,,,A
51363,2005/10/1 00:00,200H3201,2005/11/9 00:00,0,,,A
51365,2005/11/7 00:00,11H5055,2005/12/29 00:00,0,,,A
51365,2006/5/13 00:00,14H2288,2006/6/1 00:00,0,,,A
51365,2006/10/27 00:00,29H10870,2006/11/20 00:00,0,,,A
51365,2007/1/3 00:00,T369,2007/1/12 00:00,0,,,A
51365,2007/11/27 00:00,71H7145,2007/12/5 00:00,0,,,A
51365,2008/1/21 00:00,29H10442,2008/2/4 00:00,0,,,A
51365,2008/3/11 00:00,29H9138,2008/4/9 00:00,0,,,A
51366,2006/4/13 00:00,JP3H51821,2006/4/29 00:00,0,,,A
51366,2007/9/27 00:00,7H5605,2007/10/10 00:00,0,,,A
51369,2005/8/8 00:00,7H5422,2005/8/29 00:00,0,,,A
51369,2005/10/26 00:00,11H5055,2005/12/29 00:00,0,,,A
51369,2006/4/7 00:00,JP3H51821,2006/4/29 00:00,0,,,A
51369,2006/4/9 00:00,JP3H52371,2006/11/20 00:00,0,,,A
51369,2007/6/17 00:00,14H3594,2007/7/10 00:00,0,,,A
51369,2007/8/16 00:00,7H7173,2007/8/18 00:00,0,,,A
51369,2007/8/22 00:00,7H7173,2007/9/4 00:00,0,,,A
