1,2,3,4,5,6,7
5022341,N,,1999/8/24 00:00,,,A
5022362,N,,1999/8/24 00:00,,,A
5022365,N,,1999/8/24 00:00,,,A
5022372,N,,1999/8/24 00:00,,,A
5022373,N,,1999/8/24 00:00,,,A
5022376,N,,1999/8/24 00:00,,,A
5022381,N,,1999/8/24 00:00,,,A
5022343,N,,1999/8/24 00:00,,,A
5022348,N,,1999/8/24 00:00,,,A
5022374,N,,1999/8/24 00:00,,,A
5022379,N,,1999/8/24 00:00,,,A
5022383,N,,1999/8/24 00:00,,,A
5022388,N,,1999/8/24 00:00,,,A
5022391,N,,1999/8/24 00:00,,,A
5022395,N,,1999/8/24 00:00,,,A
5022340,N,,1999/8/24 00:00,,,A
5022345,N,,1999/8/24 00:00,,,A
5022359,N,,1999/8/24 00:00,,,A
5022360,N,,1999/8/24 00:00,,,A
5022338,N,,1999/8/24 00:00,,,A
5022351,N,,1999/8/24 00:00,,,A
5022358,N,,1999/8/24 00:00,,,A
5022364,N,,1999/8/24 00:00,,,A
5022369,N,,1999/8/24 00:00,,,A
5022380,N,,1999/8/24 00:00,,,A
5022403,N,,1999/8/24 00:00,,,A
5022406,N,,1999/8/24 00:00,,,A
5022336,N,,1999/8/24 00:00,,,A
5022361,N,,1999/8/24 00:00,,,A
5022367,N,,1999/8/24 00:00,,,A
5022378,N,,1999/8/24 00:00,,,A
5022385,N,,1999/8/24 00:00,,,A
5022393,N,,1999/8/24 00:00,,,A
5022396,N,,1999/8/24 00:00,,,A
5022344,N,,1999/8/24 00:00,,,A
5022347,N,,1999/8/24 00:00,,,A
5022349,N,,1999/8/24 00:00,,,A
5022352,N,,1999/8/24 00:00,,,A
5022355,N,,1999/8/24 00:00,,,A
5022384,N,,1999/8/24 00:00,,,A
5022387,N,,1999/8/24 00:00,,,A
5022389,N,,1999/8/24 00:00,,,A
5022400,N,,1999/8/24 00:00,,,A
5022335,N,,1999/8/24 00:00,,,A
5022337,N,,1999/8/24 00:00,,,A
5022346,N,,1999/8/24 00:00,,,A
5022353,N,,1999/8/24 00:00,,,A
5022357,N,,1999/8/24 00:00,,,A
5022368,N,,1999/8/24 00:00,,,A
5022371,N,,1999/8/24 00:00,,,A
5022386,N,,1999/8/24 00:00,,,A
5022392,N,,1999/8/24 00:00,,,A
5022404,N,,1999/8/24 00:00,,,A
5022408,N,,1999/8/24 00:00,,,A
5022409,N,,1999/8/24 00:00,,,A
5022363,N,,1999/8/24 00:00,,,A
5022370,N,,1999/8/24 00:00,,,A
5022375,N,,1999/8/24 00:00,,,A
5022377,N,,1999/8/24 00:00,,,A
5022394,N,,1999/8/24 00:00,,,A
5022399,N,,1999/8/24 00:00,,,A
5022402,N,,1999/8/24 00:00,,,A
5022398,N,,1999/8/24 00:00,,,A
5022352,C,C,2000/1/1 00:00,其他原因,,A
5022365,C,C,2000/1/1 00:00,其他原因,,A
11934,N,,2000/1/19 00:00,,,A
5022334,N,,1999/8/24 00:00,,,A
5022339,N,,1999/8/24 00:00,,,A
5022342,N,,1999/8/24 00:00,,,A
5022350,N,,1999/8/24 00:00,,,A
5022356,N,,1999/8/24 00:00,,,A
5022405,N,,1999/8/24 00:00,,,A
5022407,N,,1999/8/24 00:00,,,A
5022367,C,C,1999/10/1 00:00,其他原因,,A
5022351,C,C,1999/10/1 00:00,其他原因,,A
5022853,N,,1999/10/24 00:00,,,A
5022857,N,,1999/10/24 00:00,,,A
5022859,N,,1999/10/24 00:00,,,A
5022855,N,,1999/10/24 00:00,,,A
5022858,N,,1999/10/24 00:00,,,A
5022856,N,,1999/10/24 00:00,,,A
5022850,N,,1999/10/24 00:00,,,A
5022851,N,,1999/10/24 00:00,,,A
5022852,N,,1999/10/24 00:00,,,A
11469,N,,2000/1/19 00:00,,,A
5022854,N,,1999/10/24 00:00,,,A
5022909,N,,2000/3/10 00:00,,,A
5022911,N,,2000/3/10 00:00,,,A
11930,N,,2000/4/19 00:00,,,A
87051622,N,,2000/4/19 00:00,,,A
5022912,N,,2000/3/10 00:00,,,A
5022914,N,,2000/3/10 00:00,,,A
5022910,N,,2000/3/10 00:00,,,A
5022913,N,,2000/3/10 00:00,,,A
5022916,N,,2000/3/10 00:00,,,A
87051429,N,,2000/3/10 00:00,,,A
11938,N,,2000/4/19 00:00,,,A
5022908,N,,2000/3/10 00:00,,,A
5022917,N,,2000/3/10 00:00,,,A
5022394,C,C,1999/11/1 00:00,其他原因,,A
10046026,C,C,2000/11/1 00:00,2種原因以上,,B
5022334,C,C,1999/10/1 00:00,其他原因,,A
5022339,C,C,1999/10/1 00:00,其他原因,,A
5011926,N,,2000/6/22 00:00,,,A
5023051,N,,2000/6/22 00:00,,,A
5023052,N,,2000/6/22 00:00,,,A
5023057,N,,2000/6/22 00:00,,,A
5023046,N,,2000/6/22 00:00,,,A
5023043,N,,2000/6/22 00:00,,,A
5023048,N,,2000/6/22 00:00,,,A
5023054,N,,2000/6/22 00:00,,,A
5023059,N,,2000/6/22 00:00,,,A
5023058,N,,2000/6/22 00:00,,,A
5011924,N,,2000/6/22 00:00,,,A
5023044,N,,2000/6/22 00:00,,,A
5023045,N,,2000/6/22 00:00,,,A
5023047,N,,2000/6/22 00:00,,,A
5023049,N,,2000/6/22 00:00,,,A
5023050,N,,2000/6/22 00:00,,,A
5023060,N,,2000/6/22 00:00,,,A
10046159,C,C,2001/12/1 00:00,2種原因以上,,B
10046014,C,C,2001/12/1 00:00,2種原因以上,,B
10046046,C,C,2001/12/10 00:00,2種原因以上,,B
5023109,N,,2000/7/20 00:00,,,A
10046225,C,C,2001/3/16 00:00,2種原因以上,,B
10046142,D,D,2001/4/1 00:00,蹄的問題,,B
10046260,D,20,2001/4/1 00:00,,,B
10046288,D,20,2001/4/1 00:00,,,B
10046215,N,,2001/3/15 00:00,,,B
10046240,N,,2001/3/15 00:00,,,B
5023115,N,,2000/7/20 00:00,,,A
5023122,N,,2000/7/20 00:00,,,A
5023123,N,,2000/7/20 00:00,,,A
10046262,D,20,2001/4/1 00:00,,,B
10046113,C,C,2001/4/1 00:00,2種原因以上,,B
10046259,N,,2001/3/15 00:00,,,B
10046266,N,,2001/4/1 00:00,,,B
